Estación,Año,Mes,Media de temperatura máxima,Media de temperatura mínima,Media de temperatura,Media de humedad relativa,Precipitación mensual
78328,1998,1,25.4,21.3,23.1,78.0,174.9
78328,1998,2,25.8,20.5,22.9,74.0,178.6
78328,1998,3,25.2,20.9,22.9,71.0,217.0
78328,1998,4,28.1,22.5,25.0,74.0,47.2
78328,1998,5,30.2,24.4,26.9,73.0,96.8
78328,1998,6,32.4,26.9,29.3,72.0,30.1
78328,1998,7,32.2,26.4,29.2,76.0,183.3
78328,1998,8,32.2,26.8,29.2,76.0,108.2
78328,1998,9,31.5,26.2,28.3,79.0,265.1
78328,1998,10,29.6,26.0,27.6,76.0,67.9
78328,1998,11,27.7,24.2,25.8,79.0,43.5
78328,1998,12,26.6,22.6,24.6,75.0,32.2
