Estación,Año,Mes,Temperatura max med,Temperatura min med,Temperatura  med,Humedad Relat,Precipitaciones,Nombres Estaciones,Latitud,Longitud,Región
78310,1990,1,27.9,20.6,23.7,82.0,21.7,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1990,2,28.0,21.2,24.2,76.0,43.7,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1990,3,28.1,21.1,24.2,75.0,47.3,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1990,4,29.5,22.0,25.3,78.0,30.1,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1990,5,30.4,24.0,26.8,85.0,171.0,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1990,6,31.2,24.2,27.2,83.0,64.3,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1990,7,31.2,24.4,27.4,82.0,154.0,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1990,8,31.8,24.2,27.5,83.0,122.4,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1990,9,30.8,23.9,26.6,86.0,274.3,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1990,10,30.3,23.8,26.9,75.0,27.2,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1990,11,29.1,21.6,24.9,75.0,7.4,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1990,12,27.5,20.6,23.5,79.0,81.8,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1991,1,28.2,21.4,24.3,81.0,68.2,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1991,2,27.0,19.9,23.3,75.0,35.2,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1991,3,29.1,22.3,25.4,79.0,9.8,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1991,4,30.6,23.2,26.5,80.0,0.5,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1991,5,30.5,23.5,26.6,83.0,405.5,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1991,6,31.0,24.2,27.3,83.0,99.2,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1991,7,31.3,24.1,27.4,82.0,152.7,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1991,8,31.5,24.0,27.1,84.0,143.8,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1991,9,30.5,23.7,26.6,86.0,194.6,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1991,10,29.7,23.4,25.9,84.0,217.3,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1991,11,27.4,21.4,24.2,79.0,63.6,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1991,12,27.2,20.1,23.2,79.0,18.0,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1992,1,26.8,19.4,22.8,78.0,118.3,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1992,2,26.9,20.2,23.4,75.0,43.4,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1992,3,27.9,20.4,23.9,78.0,61.0,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1992,4,28.9,22.0,25.1,77.0,49.3,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1992,5,29.3,21.6,25.1,76.0,192.3,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1992,6,30.3,24.7,27.3,84.0,163.8,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1992,7,31.3,23.9,27.2,83.0,306.9,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1992,8,31.5,23.9,27.2,82.0,229.8,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1992,9,31.0,23.7,26.5,85.0,318.8,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1992,10,29.8,23.0,26.0,82.0,394.5,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1992,11,28.8,22.6,25.2,85.0,168.7,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1992,12,27.2,19.3,22.7,79.0,29.6,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1993,1,27.2,20.5,23.6,83.0,131.0,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1993,2,26.2,19.9,23.0,80.0,63.1,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1993,3,27.5,20.0,23.6,80.0,62.2,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1993,4,28.6,21.1,24.7,82.0,112.2,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1993,5,29.5,22.7,25.8,85.0,127.7,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1993,6,31.0,24.3,27.3,85.0,193.3,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1993,7,31.7,24.2,27.6,84.0,118.8,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1993,8,31.6,24.2,27.5,83.0,88.9,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1993,9,31.2,24.2,27.0,87.0,143.0,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1993,10,29.7,23.5,26.2,87.0,466.5,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1993,11,28.8,22.3,25.3,82.0,36.4,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1993,12,27.0,19.7,23.4,77.0,29.8,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1994,1,26.5,19.7,23.0,80.0,125.2,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1994,2,27.8,20.6,24.0,82.0,40.4,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1994,3,28.1,20.8,24.3,77.0,25.5,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1994,4,29.8,20.6,25.6,77.0,132.5,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1994,5,30.4,23.5,26.6,78.0,98.1,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1994,6,31.4,24.5,27.5,82.0,179.0,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1994,7,31.4,24.0,27.2,81.0,209.6,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1994,8,31.3,24.0,27.0,84.0,242.5,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1994,9,30.1,23.8,26.4,86.0,284.9,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1994,10,30.4,23.2,26.3,80.0,155.8,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1994,11,29.2,22.5,25.5,79.0,63.7,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1994,12,27.8,20.9,24.0,77.0,25.3,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1995,1,27.0,18.9,22.7,76.0,67.3,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1995,2,27.3,18.9,22.9,71.0,19.9,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1995,3,28.4,20.1,24.0,74.0,14.2,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1995,4,30.2,22.9,26.3,76.0,48.6,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1995,5,31.3,24.3,27.4,79.0,103.5,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1995,6,30.8,24.6,27.5,82.0,231.7,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1995,7,31.7,23.8,27.4,82.0,314.9,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1995,8,31.3,24.5,27.8,81.0,195.7,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1995,9,30.8,24.0,27.1,84.0,680.9,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1995,10,30.4,23.9,26.9,86.0,311.5,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1995,11,28.6,21.0,24.7,76.0,86.9,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1995,12,26.8,19.2,22.9,79.0,304.6,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1996,1,26.2,18.3,22.3,74.0,24.6,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1996,2,26.5,16.7,21.7,73.0,7.4,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1996,3,27.0,18.9,23.2,72.0,34.7,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1996,4,29.2,20.7,24.9,77.0,169.4,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1996,5,30.1,23.3,26.3,80.0,113.8,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1996,6,30.8,24.1,27.0,83.0,201.4,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1996,7,31.6,24.4,27.6,79.0,181.1,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1996,8,31.1,23.9,26.8,83.0,137.7,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1996,9,31.7,24.5,27.4,82.0,66.0,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1996,10,29.9,23.3,26.0,81.0,105.3,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1996,11,28.7,22.0,24.7,77.0,30.1,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
78310,1996,12,27.6,19.6,23.0,77.0,16.5,Cabo de San Antonio.Pinar del Río,21.86307,-84.95083,Occidente
