Fecha,Latitud,Longitud,Vientos Maximos,Presion Central,Nombre,Categoria,Region
10/18/1996,22.3N,82.0W,85,975,Lili (1996),2,Occidente
9/23/1998,20.1N,74.5W,65,993,Georges,1,Oriente
11/4/2001,21.5N,81.8W,120,949,Michelle,4,Centro
9/20/2002,22.0N,84.1W,75,964,Isidore,1,Occidente
10/1/2002,22.1N,84.0W,90,971,Lili (2002),1,Occidente
8/13/2004,22.7N,82.6W,105,966,Charley,3,Occidente
7/8/2005,22.1N,80.7W,120,941,Dennis,4,Centro
8/30/2008,22.4N,83.1W,135,941,Gustav,4,Occidente
9/8/2008,21.1N,75.7W,115,945,Ike,4,Oriente
11/9/2008,20.7N,78.0W,85,970,Paloma,2,Centro
10/25/2012,20.0N,76.0W,100,954,Sandy,3,Oriente
10/5/2016,20.1N,74.3W,115,949,Matthew,4,Oriente
09/09/2017,22.3N,77.9W,145,924,Irma,5,Centro
08/27/2021,22.4N,83.2W,70,988,Ida,1,Occidente
09/27/2022,22.2N,83.7W,110,947,Ian,3,Occidente
